14 15
0 2 4
0 7 2
0 8 2
0 9 1
1 3 3
1 10 1
1 7 1
2 4 2
2 13 2
5 8 1
5 12 1
5 13 1
6 9 1
10 11 1
11 12 1

24 31
0 7 1
0 8 1
0 10 1
0 13 1
0 15 1
1 3 1
1 4 1
1 16 1
1 9 1
2 4 2
2 19 1
2 12 1
3 5 1
3 20 1
4 21 1
4 23 1
4 14 1
5 6 3
5 18 1
5 22 1
6 15 1
6 19 1
6 20 3
6 23 3
8 9 1
10 11 1
11 12 1
13 14 1
16 17 1
17 18 1
21 22 2

6 5
0 1 2
0 2 2
0 4 1
3 5 1
4 5 2

9 9
0 5 1
1 2 1
1 3 1
1 6 1
2 7 1
2 5 3
3 8 1
4 6 1
7 8 1

7 8
0 1 2
0 4 4
1 2 2
1 3 3
2 4 2
3 4 1
4 6 1
5 6 2

14 18
0 4 1
0 6 1
0 7 3
0 8 1
1 6 4
1 9 1
1 8 2
2 5 1
2 11 1
2 10 2
3 4 2
3 12 1
3 13 3
5 6 1
5 12 2
6 11 1
6 13 1
9 10 1

27 39
0 2 1
0 6 1
0 8 2
0 10 1
0 11 1
1 2 2
1 13 1
1 16 1
1 10 1
2 3 1
2 4 1
2 7 3
2 8 1
3 4 4
3 8 1
3 19 2
3 15 1
4 6 1
4 20 2
4 21 1
4 23 2
4 18 1
5 6 1
5 12 2
5 20 2
6 8 4
6 24 1
7 22 1
7 26 1
8 23 1
9 19 1
11 12 1
13 14 1
14 15 1
16 17 1
17 18 1
21 22 2
24 25 1
25 26 1

12 13
0 1 2
0 2 2
0 4 1
0 6 1
1 7 1
1 9 2
2 10 1
2 8 1
3 11 2
4 9 2
5 6 1
7 8 2
10 11 1

5 5
0 2 2
0 3 3
0 4 2
1 2 1
2 3 3

20 29
0 5 2
0 9 1
0 10 1
1 2 3
1 4 1
1 13 1
1 14 1
1 16 1
2 3 1
2 5 2
2 18 1
3 7 1
3 19 1
3 9 1
4 5 2
4 6 2
4 7 1
4 8 1
4 18 1
4 19 1
5 13 1
6 7 1
6 12 1
6 15 2
7 17 1
10 11 1
11 12 1
14 15 1
16 17 1
